bird_order
"Falconiformes - Bộ Cắt"
"Passeriformes - Bộ Sẻ"
"Accipitriformes - Bộ Ưng"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Charadriiformes - Bộ Cun cút"
"Charadriiformes - Bộ Cun cút"
"Anseriformes - Bộ Ngỗng"
"Passeriformes - Bộ Sẻ"
"Gruiformes - Bộ Sếu"
"Passeriformes - Bộ Sẻ"
"Gruiformes - Bộ Sếu"
"Coraciiformes - Bộ Sả"
"Passeriformes - Bộ Sẻ"
"Trogoniformes - Bộ Nuốc"
"Psittaciformes - Bộ Vẹt"
"Charadriiformes - Bộ Cun cút"
"Coraciiformes - Bộ Sả"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Suliformes - Bộ Chim điên"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Anseriformes - Bộ Ngỗng"
"Piciformes - Bộ Gõ kiến"
"Charadriiformes - Bộ Cun cút"
"Passeriformes - Bộ Sẻ"
"Trogoniformes - Bộ Nuốc"
"Accipitriformes - Bộ Ưng"
"Accipitriformes - Bộ Ưng"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Galliformes - Bộ Gà"
"Cuculiformes - Bộ Cu cu"
"Columbiformes - Bộ Bồ câu"
"Psittaciformes - Bộ Vẹt"
"Passeriformes - Bộ Sẻ"
"Pelecaniformes - Bộ Bồ nông"
"Psittaciformes - Bộ Vẹt"
"Accipitriformes - Bộ Ưng"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Apodiformes - Bộ Yến"
"Anseriformes - Bộ Ngỗng"
"Coraciiformes - Bộ Sả"
"Coraciiformes - Bộ Sả"
"Passeriformes - Bộ Sẻ"
"Coraciiformes - Bộ Sả"
"Passeriformes - Bộ Sẻ"
"Gruiformes - Bộ Sếu"
"Galliformes - Bộ Gà"
"Passeriformes - Bộ Sẻ"
"Columbiformes - Bộ Bồ câu"
"Passeriformes - Bộ Sẻ"
"Pelecaniformes - Bộ Bồ nông"
"Psittaciformes - Bộ Vẹt"
"Passeriformes - Bộ Sẻ"
"Pelecaniformes - Bộ Bồ nông"
"Charadriiformes - Bộ Cun cút"
"Passeriformes - Bộ Sẻ"
"Anseriformes - Bộ Ngỗng"
"Galliformes - Bộ Gà"
"Pelecaniformes - Bộ Bồ nông"
"Strigiformes - Bộ Cú"
"Charadriiformes - Bộ Cun cút"
"Charadriiformes - Bộ Cun cút"
"Gruiformes - Bộ Sếu"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Charadriiformes - Bộ Cun cút"
"Passeriformes - Bộ Sẻ"
"Anseriformes - Bộ Ngỗng"
"Pelecaniformes - Bộ Bồ nông"
"Passeriformes - Bộ Sẻ"
"Anseriformes - Bộ Ngỗng"
"Coraciiformes - Bộ Sả"
"Falconiformes - Bộ Cắt"
"Strigiformes - Bộ Cú"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
Eurypygiformes
"Passeriformes - Bộ Sẻ"
"Anseriformes - Bộ Ngỗng"
"Galliformes - Bộ Gà"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Gruiformes - Bộ Sếu"
"Gruiformes - Bộ Sếu"
"Caprimulgiformes - Bộ Cú muỗi"
"Anseriformes - Bộ Ngỗng"
"Passeriformes - Bộ Sẻ"
"Piciformes - Bộ Gõ kiến"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Anseriformes - Bộ Ngỗng"
"Accipitriformes - Bộ Ưng"
"Coraciiformes - Bộ Sả"
"Passeriformes - Bộ Sẻ"
"Ixoreus naevius"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Columbiformes - Bộ Bồ câu"
"Passeriformes - Bộ Sẻ"
"Cuculiformes - Bộ Cu cu"
"Passeriformes - Bộ Sẻ"
Musophagiformes
"Bucerotiformes - Bộ Đầu rìu"
"Galliformes - Bộ Gà"
"Passeriformes - Bộ Sẻ"
"Galliformes - Bộ Gà"
"Charadriiformes - Bộ Cun cút"
"Charadriiformes - Bộ Cun cút"
"Gruiformes - Bộ Sếu"
"Gruiformes - Bộ Sếu"
Musophagiformes
"Bucerotiformes - Bộ Đầu rìu"
"Apodiformes - Bộ Yến"
"Passeriformes - Bộ Sẻ"
"Phaethontiformes - Bộ Chim nhiệt đới"
"Coraciiformes - Bộ Sả"
"Galliformes - Bộ Gà"
"Galliformes - Bộ Gà"
"Passeriformes - Bộ Sẻ"
"Anseriformes - Bộ Ngỗng"
"Passeriformes - Bộ Sẻ"
"Coraciiformes - Bộ Sả"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Columbiformes - Bộ Bồ câu"
